"id","name","value","lat","lng","created_at","updated_at"
"321","sensor1","0.00","0.86","112.92","2023-11-06 08:06:00",NULL
"322","sensor1","0.00","0.86","112.92","2023-11-06 08:36:00",NULL
"323","sensor1","0.00","0.86","112.92","2023-11-06 09:06:00",NULL
"324","sensor1","0.00","0.86","112.92","2023-11-06 09:36:00",NULL
"325","sensor1","0.00","0.86","112.92","2023-11-06 10:06:00",NULL
"326","sensor1","0.00","0.86","112.92","2023-11-06 10:36:00",NULL
"327","sensor1","0.00","0.86","112.92","2023-11-06 11:06:00",NULL
"328","sensor1","0.00","0.86","112.92","2023-11-06 11:36:00",NULL
"329","sensor1","0.00","0.86","112.92","2023-11-06 12:06:00",NULL
"330","sensor1","0.00","0.86","112.92","2023-11-06 12:36:00",NULL
"331","sensor1","44.00","0.86","112.92","2023-11-06 13:06:00",NULL
"332","sensor1","44.00","0.86","112.92","2023-11-06 13:36:00",NULL
"333","sensor1","44.00","0.86","112.92","2023-11-06 14:06:00",NULL
"334","sensor1","0.00","0.86","112.92","2023-11-06 14:36:00",NULL
"335","sensor1","0.00","0.86","112.92","2023-11-06 15:06:00",NULL
"336","sensor1","0.00","0.86","112.92","2023-11-06 15:36:00",NULL
"337","sensor1","0.00","0.83","112.93","2023-11-07 08:06:00",NULL
"338","sensor1","0.00","0.83","112.93","2023-11-07 08:36:00",NULL
"339","sensor1","0.00","0.83","112.93","2023-11-07 09:06:00",NULL
"340","sensor1","0.00","0.83","112.93","2023-11-07 09:36:00",NULL
"341","sensor1","0.00","0.83","112.93","2023-11-07 10:06:00",NULL
"342","sensor1","0.00","0.83","112.93","2023-11-07 10:36:00",NULL
"343","sensor1","0.00","0.83","112.93","2023-11-07 11:06:00",NULL
"344","sensor1","56.00","0.83","112.93","2023-11-07 11:36:00",NULL
"345","sensor1","57.00","0.83","112.93","2023-11-07 12:06:00",NULL
"346","sensor1","56.00","0.83","112.93","2023-11-07 12:36:00",NULL
"347","sensor1","0.00","0.83","112.93","2023-11-07 13:06:00",NULL
"348","sensor1","0.00","0.83","112.93","2023-11-07 13:36:00",NULL
"349","sensor1","0.00","0.83","112.93","2023-11-07 14:06:00",NULL
"350","sensor1","0.00","0.83","112.93","2023-11-07 14:36:00",NULL
"351","sensor1","0.00","0.83","112.93","2023-11-07 15:06:00",NULL
"352","sensor1","0.00","0.83","112.93","2023-11-07 15:36:00",NULL
"353","sensor1","0.00","0.80","112.93","2023-11-08 08:06:00",NULL
"354","sensor1","0.00","0.80","112.93","2023-11-08 08:36:00",NULL
"355","sensor1","0.00","0.80","112.93","2023-11-08 09:06:00",NULL
"356","sensor1","0.00","0.80","112.93","2023-11-08 09:36:00",NULL
"357","sensor1","0.00","0.80","112.93","2023-11-08 10:06:00",NULL
"358","sensor1","0.00","0.80","112.93","2023-11-08 10:36:00",NULL
"359","sensor1","0.00","0.80","112.93","2023-11-08 11:06:00",NULL
"360","sensor1","0.00","0.80","112.93","2023-11-08 11:36:00",NULL
"361","sensor1","0.00","0.80","112.93","2023-11-08 12:06:00",NULL
"362","sensor1","0.00","0.80","112.93","2023-11-08 12:36:00",NULL
"363","sensor1","46.00","0.80","112.93","2023-11-08 13:06:00",NULL
"364","sensor1","44.00","0.80","112.93","2023-11-08 13:36:00",NULL
"365","sensor1","44.00","0.80","112.93","2023-11-08 14:06:00",NULL
"366","sensor1","0.00","0.80","112.93","2023-11-08 14:36:00",NULL
"367","sensor1","0.00","0.80","112.93","2023-11-08 15:06:00",NULL
"368","sensor1","0.00","0.80","112.93","2023-11-08 15:36:00",NULL
"369","sensor1","0.00","0.82","112.93","2023-11-09 08:06:00",NULL
"370","sensor1","0.00","0.82","112.93","2023-11-09 08:36:00",NULL
"371","sensor1","0.00","0.82","112.93","2023-11-09 09:06:00",NULL
"372","sensor1","0.00","0.82","112.93","2023-11-09 09:36:00",NULL
"373","sensor1","0.00","0.82","112.93","2023-11-09 10:06:00",NULL
"374","sensor1","0.00","0.82","112.93","2023-11-09 10:36:00",NULL
